N_STATES,TERM,P_VALUE,SELECTED,SIGNIFICANT_AT_5_PERCENT,PENALTY_GROUP,SELECTED_GROUP_WEIGHT,INFERENCE_SOURCE
2,DBLCIX_LAG_0,0.02,True,True,market,0.5,original_mlg_significance_screen
2,DBLCIX_LAG_1,0.02,True,True,market,0.5,original_mlg_significance_screen
2,DBLCIX_LAG_2,0.02,True,True,market,0.5,original_mlg_significance_screen
2,DURATION_STATE_0,0.02,True,True,duration,8.0,original_mlg_significance_screen
2,DURATION_STATE_1,0.02,True,True,duration,8.0,original_mlg_significance_screen
2,IBOXIG_LAG_0,0.02,True,True,market,0.5,original_mlg_significance_screen
2,IBOXIG_LAG_1,0.02,True,True,market,0.5,original_mlg_significance_screen
2,IBOXIG_LAG_2,0.02,True,True,market,0.5,original_mlg_significance_screen
2,JPEICORE_LAG_0,0.02,True,True,market,0.5,original_mlg_significance_screen
2,JPEICORE_LAG_1,0.02,True,True,market,0.5,original_mlg_significance_screen
2,JPEICORE_LAG_2,0.02,True,True,market,0.5,original_mlg_significance_screen
2,LBUTTRUU_LAG_0,0.02,True,True,market,0.5,original_mlg_significance_screen
2,LBUTTRUU_LAG_1,0.02,True,True,market,0.5,original_mlg_significance_screen
2,LBUTTRUU_LAG_2,0.02,True,True,market,0.5,original_mlg_significance_screen
2,LT11TRUU_LAG_0,0.02,True,True,market,0.5,original_mlg_significance_screen
2,LT11TRUU_LAG_1,0.02,True,True,market,0.5,original_mlg_significance_screen
2,LT11TRUU_LAG_2,0.02,True,True,market,0.5,original_mlg_significance_screen
2,SPXT_LAG_0,0.02,True,True,market,0.5,original_mlg_significance_screen
2,SPXT_LAG_1,0.02,True,True,market,0.5,original_mlg_significance_screen
2,SPXT_LAG_2,0.02,True,True,market,0.5,original_mlg_significance_screen
2,STATE_LAG_0,0.02,True,True,state,1.0,original_mlg_significance_screen
